epoch accuracy  loss     val_acc	 val_loss
145   0.8439    0.4535   0.8291      0.4902
146   0.8428    0.4608   0.8289      0.4899
147   0.8421    0.4589   0.8288      0.4895
148   0.8450    0.4506   0.8287      0.4893
149   0.8428    0.4557   0.8289      0.4890
150   0.8452    0.4538   0.8291      0.4886
151   0.8435    0.4590   0.8301      0.4883
152   0.8465    0.4534   0.8299      0.4879
153   0.8429    0.4578   0.8295      0.4875
154   0.8475    0.4458   0.8301      0.4872
155   0.8438    0.4504   0.8289      0.4869
156   0.8462    0.4508   0.8300      0.4866
157   0.8444    0.4527   0.8309      0.4864
158   0.8429    0.4568   0.8292      0.4859
159   0.8439    0.4547   0.8304      0.4857
160   0.8465    0.4547   0.8297      0.4853
161   0.8431    0.4508   0.8301      0.4851
162   0.8439    0.4553   0.8302      0.4847
163   0.8452    0.4484   0.8297      0.4845
164   0.8477    0.4523   0.8304      0.4842
165   0.8450    0.4500   0.8305      0.4839
166   0.8454    0.4496   0.8313      0.4836
167   0.8472    0.4474   0.8307      0.4833
168   0.8452    0.4489   0.8313      0.4831
169   0.8459    0.4489   0.8314      0.4830
170   0.8469    0.4494   0.8309      0.4825
171   0.8474    0.4462   0.8315      0.4822
172   0.8452    0.4464   0.8309      0.4820
173   0.8455    0.4506   0.8322      0.4819
174   0.8477    0.4418   0.8316      0.4815
175   0.8455    0.4479   0.8324      0.4812
176   0.8453    0.4496   0.8321      0.4809
177   0.8472    0.4479   0.8320      0.4807
178   0.8469    0.4463   0.8319      0.4805
179   0.8464    0.4492   0.8317      0.4801
180   0.8458    0.4492   0.8315      0.4798
181   0.8440    0.4482   0.8317      0.4797
182   0.8471    0.4477   0.8322      0.4794
183   0.8435    0.4494   0.8325      0.4792
184   0.8447    0.4484   0.8318      0.4789
185   0.8492    0.4455   0.8328      0.4787
186   0.8470    0.4460   0.8329      0.4784
187   0.8503    0.4401   0.8332      0.4782
188   0.8472    0.4451   0.8329      0.4780
189   0.8476    0.4485   0.8328      0.4778
190   0.8470    0.4461   0.8329      0.4775
191   0.8478    0.4427   0.8330      0.4773
192   0.8485    0.4397   0.8330      0.4771
