epoch	accuracy  loss      val_accuracy  val_loss
145     0.9891    0.0306    0.8843      1.1039
146     0.9870    0.0362    0.8826      1.0167
147     0.9878    0.0339    0.8855      1.0631
148     0.9892    0.0319    0.8884      1.0030
149     0.9895    0.0274    0.8869      1.0331
150     0.9894    0.0302    0.8875      1.0328
151     0.9900    0.0290    0.8832      1.0589
152     0.9889    0.0317    0.8824      1.0911
153     0.9871    0.0370    0.8877      1.0283
154     0.9890    0.0293    0.8866      1.0542
155     0.9915    0.0239    0.8837      1.0377
156     0.9893    0.0296    0.8843      1.0342
157     0.9904    0.0271    0.8886      1.0695
158     0.9873    0.0354    0.8832      1.1033
159     0.9890    0.0305    0.8847      1.0803
160     0.9878    0.0362    0.8880      1.0577
161     0.9908    0.0267    0.8898      1.0604
162     0.9894    0.0280    0.8868      1.0781
163     0.9902    0.0264    0.8872      1.1022
164     0.9896    0.0278    0.8803      1.1697
165     0.9911    0.0257    0.8793      1.1883
166     0.9873    0.0350    0.8860      1.1039
167     0.9887    0.0312    0.8857      1.1064
168     0.9902    0.0270    0.8874      1.1130
169     0.9916    0.0242    0.8882      1.1367
170     0.9928    0.0215    0.8845      1.1485
171     0.9874    0.0379    0.8797      1.1049
172     0.9914    0.0241    0.8831      1.1360
173     0.9911    0.0250    0.8880      1.1488
174     0.9859    0.0410    0.8855      1.1365
175     0.9912    0.0254    0.8838      1.1192
176     0.9911    0.0253    0.8856      1.1598
177     0.9918    0.0233    0.8870      1.1372
178     0.9907    0.0272    0.8852      1.1659
179     0.9913    0.0246    0.8827      1.2320
180     0.9895    0.0273    0.8815      1.2052
181     0.9912    0.0263    0.8846      1.1525
182     0.9913    0.0254    0.8819      1.1722
183     0.9901    0.0280    0.8885      1.1878
184     0.9898    0.0283    0.8850      1.1582
185     0.9918    0.0249    0.8848      1.2156
186     0.9914    0.0236    0.8835      1.2249
187     0.9922    0.0223    0.8810      1.2689
188     0.9905    0.0279    0.8846      1.2046
189     0.9917    0.0241    0.8873      1.1547
190     0.9930    0.0202    0.8804      1.3005
191     0.9910    0.0269    0.8814      1.3227
192     0.9901    0.0286    0.8857      1.2265
193     0.9919    0.0223    0.8868      1.2187
194     0.9911    0.0247    0.8852      1.2480
195     0.9938    0.0179    0.8863      1.2049
196     0.9910    0.0265    0.8860      1.2742
197     0.9930    0.0214    0.8860      1.3027
198     0.9907    0.0260    0.8849      1.2376
199     0.9924    0.0199    0.8880      1.2010
200     0.9924    0.0205    0.8857      1.2734
201     0.9916    0.0246    0.8874      1.2747
202     0.9915    0.0247    0.8874      1.2269
203     0.9924    0.0211    0.8871      1.1972
204     0.9912    0.0253    0.8884      1.2768
205     0.9922    0.0238    0.8851      1.2601
206     0.9934    0.0180    0.8835      1.3419
207     0.9899    0.0270    0.8819      1.3244
208     0.9924    0.0228    0.8841      1.2910
209     0.9931    0.0196    0.8881      1.2404
210     0.9943    0.0172    0.8848      1.3193
211     0.9926    0.0210    0.8879      1.2883
212     0.9923    0.0212    0.8860      1.3812
213     0.9897    0.0309    0.8833      1.3134
214     0.9934    0.0199    0.8869      1.3362
215     0.9903    0.0279    0.8853      1.3140
216     0.9919    0.0240    0.8785      1.3363
217     0.9940    0.0187    0.8924      1.3532
218     0.9915    0.0250    0.8824      1.4539
219     0.9900    0.0281    0.8871      1.2977
220     0.9925    0.0207    0.8834      1.2835
221     0.9941    0.0174    0.8844      1.3154
222     0.9924    0.0211    0.8866      1.3161
223     0.9929    0.0206    0.8777      1.4140
224     0.9900    0.0298    0.8890      1.3334
225     0.9924    0.0223    0.8847      1.3654
226     0.9929    0.0208    0.8841      1.3535
227     0.9929    0.0217    0.8866      1.3717
228     0.9936    0.0199    0.8835      1.4359
229     0.9918    0.0244    0.8842      1.4082
230     0.9914    0.0247    0.8815      1.3799
231     0.9919    0.0244    0.8758      1.4790
232     0.9927    0.0205    0.8893      1.3544
233     0.9928    0.0206    0.8845      1.4637
