epoch accuracy  loss  val_acc	val_loss
145    0.9788   0.0782   0.8791    1.4034
146    0.9782   0.0879   0.8805    1.4140
147    0.9789   0.0772   0.8792    1.4230
148    0.9796   0.0758   0.8762    1.4430
149    0.9791   0.0800   0.8735    1.4158
150    0.9792   0.0785   0.8821    1.5144
151    0.9806   0.0729   0.8780    1.4883
152    0.9789   0.0822   0.8797    1.4668
153    0.9790   0.0817   0.8806    1.5101
154    0.9799   0.0776   0.8799    1.4331
155    0.9805   0.0738   0.8809    1.5489
156    0.9793   0.0769   0.8813    1.4985
157    0.9811   0.0754   0.8788    1.4770
158    0.9796   0.0791   0.8788    1.4832
159    0.9801   0.0734   0.8756    1.5095
160    0.9809   0.0751   0.8802    1.5221
161    0.9793   0.0814   0.8804    1.5416
162    0.9794   0.0733   0.8761    1.5299
163    0.9817   0.0718   0.8791    1.5967
164    0.9806   0.0723   0.8821    1.5782
165    0.9815   0.0709   0.8806    1.5324
166    0.9805   0.0724   0.8772    1.5818
167    0.9822   0.0693   0.8833    1.5573
168    0.9805   0.0701   0.8775    1.5924
169    0.9812   0.0742   0.8809    1.5632
170    0.9830   0.0623   0.8764    1.6342
171    0.9822   0.0655   0.8762    1.6408
172    0.9811   0.0712   0.8733    1.6524
173    0.9826   0.0702   0.8801    1.5602
174    0.9834   0.0642   0.8759    1.6439
175    0.9827   0.0676   0.8798    1.6043
176    0.9820   0.0706   0.8817    1.6335
177    0.9836   0.0689   0.8777    1.6803
178    0.9817   0.0681   0.8785    1.6014
179    0.9826   0.0664   0.8731    1.7539
180    0.9834   0.0629   0.8756    1.6354
181    0.9833   0.0693   0.8781    1.6572
182    0.9836   0.0656   0.8797    1.6744
183    0.9825   0.0682   0.8730    1.6725
184    0.9830   0.0653   0.8800    1.7153
185    0.9839   0.0639   0.8824    1.6730
186    0.9843   0.0626   0.8756    1.6778
187    0.9836   0.0639   0.8770    1.6579
188    0.9845   0.0607   0.8789    1.7276
189    0.9830   0.0660   0.8760    1.7512
190    0.9830   0.0687   0.8792    1.7052
191    0.9847   0.0580   0.8769    1.7647
192    0.9848   0.0628   0.8799    1.8392
193    0.9847   0.0617   0.8765    1.7022
194    0.9842   0.0605   0.8799    1.7408
195    0.9845   0.0638   0.8821    1.7327
196    0.9846   0.0603   0.8738    1.8044
197    0.9842   0.0609   0.8782    1.7285
198    0.9842   0.0655   0.8822    1.7569
199    0.9840   0.0576   0.8753    1.8175
200    0.9857   0.0554   0.8774    1.8025
201    0.9858   0.0562   0.8786    1.8195
202    0.9847   0.0599   0.8773    1.8484
203    0.9850   0.0602   0.8750    1.8554
204    0.9849   0.0594   0.8772    1.7938
205    0.9844   0.0624   0.8788    1.7619
206    0.9863   0.0535   0.8794    1.7754
207    0.9852   0.0577   0.8737    1.8597
208    0.9845   0.0620   0.8804    1.8002
209    0.9865   0.0577   0.8800    1.9008
210    0.9855   0.0642   0.8773    1.7894
211    0.9864   0.0573   0.8815    1.8842
212    0.9854   0.0568   0.8766    1.9071
213    0.9857   0.0581   0.8767    1.8613
214    0.9854   0.0574   0.8799    1.8937
215    0.9869   0.0540   0.8761    1.8646
216    0.9855   0.0576   0.8819    1.8558
217    0.9862   0.0555   0.8792    1.7992
218    0.9865   0.0540   0.8767    1.8922
219    0.9866   0.0574   0.8782    1.9230
220    0.9870   0.0527   0.8809    1.9238
221    0.9855   0.0585   0.8773    1.9356
222    0.9862   0.0558   0.8822    1.9168
223    0.9865   0.0535   0.8779    1.9872
224    0.9872   0.0509   0.8811    1.9278
225    0.9862   0.0538   0.8805    1.9162
226    0.9866   0.0524   0.8764    1.9358
227    0.9863   0.0526   0.8814    1.9628
228    0.9867   0.0548   0.8750    1.9168
229    0.9869   0.0559   0.8790    1.9147
230    0.9865   0.0548   0.8791    1.9611
231    0.9876   0.0542   0.8777    1.8857
232    0.9884   0.0495   0.8781    1.9764
233    0.9866   0.0556   0.8798    2.0811
234    0.9871   0.0510   0.8773    1.9624
235    0.9878   0.0507   0.8772    1.9781
236    0.9870   0.0549   0.8781    1.9717
237    0.9867   0.0510   0.8777    2.0238
238    0.9888   0.0445   0.8748    2.0244
239    0.9880   0.0488   0.8807    1.9904
240    0.9873   0.0515   0.8800    2.1206
241    0.9882   0.0466   0.8767    2.0130
242    0.9874   0.0501   0.8773    2.0662
243    0.9882   0.0478   0.8803    2.0124
244    0.9872   0.0505   0.8801    2.0756
245    0.9879   0.0479   0.8804    2.0626
246    0.9874   0.0478   0.8778    2.0713
247    0.9885   0.0456   0.8781    2.0180
248    0.9879   0.0500   0.8799    2.0370
249    0.9887   0.0464   0.8806    2.1057
250    0.9884   0.0479   0.8788    2.0895
251    0.9895   0.0456   0.8733    2.1037
252    0.9884   0.0457   0.8782    2.1205
253    0.9877   0.0486   0.8807    2.1321
254    0.9887   0.0453   0.8795    2.0738
255    0.9880   0.0523   0.8796    2.0696
256    0.9881   0.0461   0.8768    2.0938
257    0.9881   0.0450   0.8736    2.1527
258    0.9889   0.0439   0.8810    2.0770
259    0.9882   0.0489   0.8781    2.1011
260    0.9894   0.0468   0.8806    2.1507
261    0.9889   0.0478   0.8814    2.0999
262    0.9888   0.0447   0.8769    2.1392
263    0.9887   0.0472   0.8780    2.1529
264    0.9892   0.0455   0.8796    2.2096
265    0.9894   0.0411   0.8804    2.1359
266    0.9895   0.0430   0.8741    2.1728
267    0.9888   0.0510   0.8797    2.2667
268    0.9892   0.0457   0.8778    2.1997
269    0.9883   0.0495   0.8769    2.2265
270    0.9890   0.0500   0.8767    2.2153
271    0.9899   0.0416   0.8775    2.1925
272    0.9894   0.0420   0.8808    2.2076
273    0.9892   0.0444   0.8823    2.2399
274    0.9901   0.0403   0.8800    2.2146
275    0.9904   0.0391   0.8769    2.2619
276    0.9897   0.0436   0.8782    2.1777
277    0.9899   0.0402   0.8785    2.1996
278    0.9903   0.0395   0.8774    2.3097
279    0.9903   0.0400   0.8791    2.2054
280    0.9906   0.0399   0.8813    2.2326
281    0.9902   0.0436   0.8775    2.2499
282    0.9898   0.0377   0.8792    2.2265
283    0.9893   0.0437   0.8804    2.2197
284    0.9902   0.0399   0.8769    2.2454
285    0.9894   0.0422   0.8759    2.2848
286    0.9892   0.0404   0.8814    2.2369
287    0.9906   0.0387   0.8736    2.4139
288    0.9901   0.0422   0.8803    2.3445
289    0.9899   0.0411   0.8760    2.3011
290    0.9909   0.0398   0.8759    2.3939
291    0.9903   0.0394   0.8771    2.3118
292    0.9905   0.0384   0.8768    2.3108
293    0.9906   0.0370   0.8783    2.3488
294    0.9902   0.0408   0.8829    2.3296
295    0.9904   0.0419   0.8796    2.3084
296    0.9899   0.0415   0.8767    2.3606
297    0.9904   0.0409   0.8795    2.3600
298    0.9907   0.0434   0.8787    2.2973
299    0.9910   0.0380   0.8796    2.3759
300    0.9915   0.0382   0.8772    2.3746
301    0.9908   0.0419   0.8788    2.3490
302    0.9908   0.0397   0.8713    2.4067
303    0.9909   0.0387   0.8797    2.3736
304    0.9907   0.0423   0.8784    2.3597
305    0.9906   0.0418   0.8743    2.5042
306    0.9899   0.0426   0.8804    2.3562
307    0.9903   0.0412   0.8757    2.5066
308    0.9908   0.0400   0.8775    2.3969
309    0.9905   0.0386   0.8790    2.4216
310    0.9900   0.0437   0.8769    2.4323
311    0.9911   0.0389   0.8780    2.3816
312    0.9915   0.0383   0.8792    2.3550
313    0.9911   0.0335   0.8749    2.3623
314    0.9912   0.0364   0.8772    2.4520
315    0.9921   0.0352   0.8794    2.4406
316    0.9906   0.0399   0.8762    2.3515
317    0.9911   0.0363   0.8778    2.4989
318    0.9910   0.0367   0.8775    2.3981
319    0.9903   0.0430   0.8787    2.4116
320    0.9908   0.0416   0.8771    2.4867
321    0.9919   0.0331   0.8822    2.4286
322    0.9920   0.0305   0.8767    2.3770
323    0.9911   0.0371   0.8737    2.5285
324    0.9915   0.0362   0.8813    2.4534
325    0.9909   0.0376   0.8789    2.4113
326    0.9912   0.0347   0.8815    2.4375
327    0.9921   0.0335   0.8813    2.4471
328    0.9913   0.0382   0.8782    2.4366
329    0.9927   0.0288   0.8762    2.4817
330    0.9923   0.0325   0.8774    2.6093
331    0.9916   0.0381   0.8762    2.4243
332    0.9913   0.0377   0.8765    2.5164
333    0.9906   0.0380   0.8782    2.5548
334    0.9915   0.0356   0.8776    2.4499
335    0.9913   0.0349   0.8780    2.4702
336    0.9924   0.0344   0.8768    2.5006
337    0.9917   0.0337   0.8784    2.5255
338    0.9916   0.0368   0.8784    2.4894
339    0.9913   0.0369   0.8788    2.4738
340    0.9923   0.0306   0.8776    2.4818
341    0.9922   0.0350   0.8798    2.5258
342    0.9934   0.0308   0.8757    2.6238
343    0.9922   0.0310   0.8790    2.5363
344    0.9921   0.0310   0.8812    2.5529
345    0.9919   0.0370   0.8810    2.5298
346    0.9915   0.0367   0.8765    2.5475
347    0.9926   0.0326   0.8783    2.5788
348    0.9920   0.0303   0.8799    2.5238
349    0.9927   0.0317   0.8756    2.5897
350    0.9926   0.0292   0.8797    2.5216
351    0.9922   0.0342   0.8812    2.5257
352    0.9925   0.0325   0.8778    2.5359
353    0.9925   0.0296   0.8750    2.6394
354    0.9930   0.0304   0.8777    2.6935
355    0.9924   0.0298   0.8777    2.6081
356    0.9933   0.0273   0.8781    2.6540
357    0.9919   0.0364   0.8798    2.5941
358    0.9920   0.0329   0.8750    2.6746
359    0.9923   0.0306   0.8782    2.5519
360    0.9925   0.0321   0.8776    2.5602
361    0.9919   0.0306   0.8798    2.5729
362    0.9928   0.0304   0.8801    2.6006
363    0.9928   0.0315   0.8787    2.5733
364    0.9934   0.0296   0.8789    2.6034
365    0.9921   0.0315   0.8763    2.6313
366    0.9932   0.0293   0.8766    2.6098
367    0.9929   0.0296   0.8744    2.6628
368    0.9929   0.0273   0.8768    2.6615
369    0.9935   0.0270   0.8776    2.5976
370    0.9932   0.0277   0.8795    2.7003
371    0.9935   0.0279   0.8795    2.5833
372    0.9926   0.0325   0.8791    2.7149
373    0.9934   0.0278   0.8744    2.6807
374    0.9922   0.0343   0.8746    2.6722
375    0.9929   0.0339   0.8763    2.6545
376    0.9930   0.0288   0.8751    2.6804
377    0.9929   0.0293   0.8796    2.6867
378    0.9933   0.0264   0.8776    2.7224
379    0.9935   0.0281   0.8778    2.7119
380    0.9926   0.0326   0.8764    2.6607
381    0.9933   0.0312   0.8740    2.7566
382    0.9927   0.0327   0.8758    2.6762
383    0.9937   0.0242   0.8763    2.6886
384    0.9934   0.0292   0.8754    2.7199
385    0.9935   0.0255   0.8790    2.7700
386    0.9935   0.0293   0.8792    2.6818
387    0.9935   0.0269   0.8786    2.7580
388    0.9937   0.0277   0.8777    2.7335
389    0.9929   0.0306   0.8790    2.7543
390    0.9928   0.0335   0.8765    2.6775
391    0.9929   0.0274   0.8780    2.7688
392    0.9939   0.0285   0.8771    2.8266
393    0.9925   0.0324   0.8783    2.7807
394    0.9938   0.0267   0.8764    2.8807
395    0.9926   0.0314   0.8781    2.8261
396    0.9937   0.0262   0.8753    2.8447
397    0.9936   0.0265   0.8783    2.7712
398    0.9933   0.0325   0.8761    2.7643
399    0.9933   0.0295   0.8775    2.8298
400    0.9936   0.0281   0.8788    2.8183
