epoch	accuracy  loss   val_accuracy  val_loss
145  0.9893       0.0295   0.8832       1.0228
146  0.9886       0.0303   0.8847       1.0316
147  0.9876       0.0326   0.8854       1.0063
148  0.9883       0.0336   0.8790       1.0940
149  0.9881       0.0356   0.8812       1.0155
150  0.9899       0.0295   0.8860       1.0407
151  0.9866       0.0362   0.8871       1.0262
152  0.9891       0.0281   0.8885       1.0209
153  0.9879       0.0330   0.8834       1.0622
154  0.9869       0.0361   0.8851       1.0562
155  0.9894       0.0294   0.8898       1.0196
156  0.9893       0.0289   0.8823       1.1425
157  0.9884       0.0311   0.8851       1.1025
158  0.9910       0.0255   0.8809       1.1053
159  0.9891       0.0322   0.8838       1.0486
160  0.9927       0.0229   0.8817       1.0751
161  0.9892       0.0295   0.8816       1.1016
162  0.9871       0.0348   0.8853       1.0570
163  0.9908       0.0272   0.8830       1.1141
164  0.9899       0.0277   0.8871       1.1374
165  0.9869       0.0379   0.8841       1.0972
166  0.9886       0.0336   0.8788       1.1541
167  0.9880       0.0352   0.8878       1.0941
168  0.9892       0.0290   0.8857       1.0800
169  0.9908       0.0250   0.8712       1.1269
170  0.9901       0.0270   0.8865       1.0887
171  0.9891       0.0277   0.8885       1.1304
172  0.9888       0.0338   0.8851       1.1334
173  0.9902       0.0281   0.8848       1.1343
174  0.9907       0.0250   0.8858       1.1152
175  0.9902       0.0278   0.8851       1.1194
176  0.9872       0.0357   0.8884       1.1396
177  0.9896       0.0288   0.8876       1.1608
178  0.9915       0.0244   0.8859       1.1699
179  0.9903       0.0267   0.8830       1.1817
180  0.9908       0.0251   0.8876       1.1152
181  0.9867       0.0387   0.8817       1.1261
182  0.9908       0.0261   0.8859       1.1832
183  0.9894       0.0304   0.8893       1.1094
184  0.9888       0.0318   0.8844       1.1925
185  0.9887       0.0316   0.8893       1.1421
186  0.9909       0.0263   0.8841       1.1795
187  0.9910       0.0249   0.8846       1.2054
188  0.9897       0.0294   0.8861       1.1467
189  0.9932       0.0179   0.8764       1.2338
190  0.9914       0.0232   0.8846       1.1958
191  0.9902       0.0253   0.8857       1.1761
192  0.9912       0.0242   0.8813       1.2259
193  0.9915       0.0232   0.8849       1.2303
194  0.9917       0.0242   0.8870       1.1724
195  0.9924       0.0202   0.8817       1.2442
196  0.9937       0.0189   0.8847       1.1956
197  0.9898       0.0291   0.8836       1.1870
198  0.9934       0.0193   0.8856       1.2058
199  0.9913       0.0235   0.8850       1.2529
200  0.9896       0.0281   0.8857       1.2290
201  0.9887       0.0313   0.8811       1.2457
202  0.9903       0.0277   0.8861       1.2475
203  0.9913       0.0251   0.8871       1.2730
204  0.9909       0.0246   0.8836       1.1950
205  0.9924       0.0212   0.8835       1.2369
206  0.9917       0.0256   0.8841       1.2490
207  0.9922       0.0214   0.8803       1.3167
208  0.9913       0.0250   0.8863       1.2964
209  0.9928       0.0215   0.8837       1.2134
210  0.9930       0.0198   0.8856       1.2922
211  0.9933       0.0201   0.8866       1.2361
212  0.9943       0.0183   0.8881       1.2283
213  0.9918       0.0223   0.8865       1.2387
214  0.9922       0.0206   0.8845       1.3373
215  0.9937       0.0180   0.8813       1.3139
216  0.9931       0.0199   0.8846       1.3483
217  0.9927       0.0196   0.8852       1.3025
218  0.9909       0.0285   0.8846       1.2990
219  0.9938       0.0193   0.8871       1.2889
220  0.9931       0.0196   0.8870       1.2784
221  0.9925       0.0229   0.8828       1.2973
222  0.9918       0.0247   0.8851       1.2838
223  0.9909       0.0269   0.8829       1.2924
224  0.9926       0.0201   0.8879       1.3422
225  0.9937       0.0191   0.8805       1.3377
226  0.9914       0.0238   0.8853       1.3458
227  0.9936       0.0181   0.8836       1.3335
228  0.9904       0.0280   0.8817       1.3449
229  0.9933       0.0201   0.8865       1.3869
230  0.9943       0.0175   0.8872       1.2816
231  0.9931       0.0193   0.8826       1.3884
232  0.9912       0.0268   0.8880       1.3647
233  0.9935       0.0197   0.8833       1.3513
234  0.9934       0.0210   0.8826       1.3886
235  0.9937       0.0192   0.8830       1.3577
236  0.9961       0.0134   0.8822       1.3823
237  0.9936       0.0185   0.8856       1.3928
238  0.9918       0.0295   0.8823       1.4026
239  0.9931       0.0211   0.8854       1.3925
240  0.9915       0.0238   0.8823       1.5554
241  0.9917       0.0253   0.8890       1.3258
242  0.9943       0.0171   0.8840       1.3968
243  0.9927       0.0208   0.8862       1.3681
244  0.9944       0.0171   0.8860       1.3511
245  0.9931       0.0215   0.8835       1.3855
246  0.9941       0.0166   0.8818       1.4612
247  0.9929       0.0198   0.8832       1.4043
248  0.9937       0.0198   0.8817       1.4037
249  0.9950       0.0158   0.8860       1.4315
250  0.9914       0.0263   0.8824       1.4003
251  0.9925       0.0216   0.8830       1.3716
252  0.9931       0.0198   0.8901       1.3891
253  0.9932       0.0207   0.8882       1.4087
254  0.9957       0.0132   0.8822       1.4330
255  0.9924       0.0244   0.8880       1.3951
256  0.9949       0.0136   0.8845       1.4771
257  0.9908       0.0284   0.8866       1.3870
258  0.9945       0.0170   0.8856       1.4006
259  0.9913       0.0277   0.8857       1.3938
260  0.9946       0.0173   0.8821       1.4309
261  0.9955       0.0147   0.8825       1.4556
262  0.9949       0.0147   0.8873       1.4751
263  0.9934       0.0190   0.8840       1.4489
264  0.9957       0.0132   0.8786       1.5615
265  0.9911       0.0271   0.8870       1.4222
266  0.9926       0.0223   0.8825       1.4893
267  0.9936       0.0203   0.8800       1.4682
268  0.9921       0.0230   0.8871       1.5012
269  0.9932       0.0219   0.8848       1.3773
270  0.9912       0.0289   0.8870       1.4577
271  0.9953       0.0143   0.8856       1.4846
272  0.9945       0.0168   0.8837       1.5045
273  0.9926       0.0221   0.8841       1.4811
274  0.9918       0.0257   0.8883       1.4375
275  0.9956       0.0131   0.8842       1.5388
276  0.9923       0.0233   0.8879       1.4476
277  0.9948       0.0158   0.8791       1.5499
278  0.9930       0.0231   0.8844       1.4819
279  0.9923       0.0239   0.8767       1.5048
280  0.9931       0.0202   0.8837       1.4545
281  0.9949       0.0144   0.8848       1.4874
282  0.9925       0.0224   0.8864       1.4983
283  0.9942       0.0166   0.8800       1.5751
284  0.9940       0.0177   0.8845       1.4596
285  0.9943       0.0177   0.8829       1.5506
286  0.9937       0.0183   0.8867       1.5167
287  0.9954       0.0145   0.8818       1.5218
288  0.9952       0.0137   0.8858       1.4883
289  0.9930       0.0216   0.8851       1.5594
290  0.9967       0.0101   0.8776       1.5934
291  0.9941       0.0174   0.8877       1.5461
292  0.9935       0.0201   0.8865       1.5399
293  0.9945       0.0177   0.8826       1.5787
294  0.9942       0.0162   0.8853       1.5290
295  0.9947       0.0177   0.8875       1.5243
296  0.9938       0.0185   0.8858       1.6121
297  0.9943       0.0189   0.8873       1.6317
298  0.9949       0.0151   0.8861       1.5543
299  0.9944       0.0167   0.8848       1.5916
300  0.9952       0.0146   0.8867       1.5494
301  0.9954       0.0131   0.8800       1.5970
302  0.9929       0.0207   0.8857       1.5418
303  0.9953       0.0149   0.8872       1.5996
304  0.9969       0.0105   0.8832       1.6069
305  0.9950       0.0155   0.8881       1.6128
306  0.9948       0.0166   0.8836       1.5536
307  0.9974       0.0089   0.8828       1.6151
308  0.9949       0.0140   0.8850       1.5831
309  0.9933       0.0228   0.8867       1.5196
310  0.9965       0.0121   0.8819       1.5604
311  0.9927       0.0228   0.8799       1.6212
312  0.9952       0.0150   0.8840       1.5458
313  0.9958       0.0125   0.8846       1.6184
314  0.9956       0.0118   0.8827       1.6519
315  0.9961       0.0134   0.8866       1.5599
316  0.9963       0.0111   0.8854       1.5766
317  0.9950       0.0167   0.8877       1.6901
318  0.9953       0.0145   0.8881       1.5712
319  0.9948       0.0159   0.8847       1.6260
320  0.9953       0.0141   0.8864       1.5995
321  0.9963       0.0108   0.8846       1.6229
322  0.9954       0.0148   0.8854       1.6615
323  0.9953       0.0145   0.8877       1.6138
324  0.9928       0.0208   0.8854       1.6303
325  0.9928       0.0229   0.8858       1.6296
326  0.9944       0.0157   0.8815       1.6904
327  0.9950       0.0170   0.8863       1.6525
328  0.9956       0.0147   0.8846       1.6659
329  0.9956       0.0131   0.8812       1.6350
330  0.9950       0.0155   0.8856       1.5351
331  0.9955       0.0140   0.8892       1.6228
332  0.9952       0.0139   0.8877       1.5912
333  0.9961       0.0125   0.8842       1.5722
334  0.9969       0.0099   0.8830       1.6645
335  0.9956       0.0141   0.8842       1.6324
336  0.9957       0.0144   0.8843       1.7716
337  0.9942       0.0192   0.8879       1.7026
338  0.9928       0.0252   0.8848       1.6307
339  0.9958       0.0145   0.8801       1.7484
340  0.9921       0.0285   0.8858       1.6382
341  0.9981       0.0075   0.8868       1.6543
342  0.9962       0.0101   0.8843       1.7058
343  0.9956       0.0124   0.8811       1.6738
344  0.9942       0.0199   0.8896       1.6565
345  0.9955       0.0152   0.8870       1.6673
346  0.9964       0.0105   0.8852       1.5848
347  0.9960       0.0106   0.8822       1.8059
348  0.9923       0.0262   0.8873       1.6821
349  0.9969       0.0097   0.8839       1.6510
350  0.9945       0.0160   0.8835       1.7284
351  0.9938       0.0187   0.8826       1.7438
352  0.9963       0.0132   0.8846       1.7122
353  0.9962       0.0118   0.8814       1.7681
354  0.9947       0.0167   0.8875       1.6751
355  0.9968       0.0099   0.8888       1.6700
356  0.9964       0.0111   0.8893       1.7086
357  0.9968       0.0109   0.8907       1.6832
358  0.9972       0.0090   0.8880       1.7163
