epoch	   accuracy  loss       val_accuracy      val_loss
145        0.9880    0.0400     0.8888            0.4877
146        0.9887    0.0393     0.8867            0.4960
147        0.9877    0.0410     0.8907            0.4972
148        0.9883    0.0393     0.8823            0.5107
149        0.9892    0.0379     0.8867            0.5012
150        0.9904    0.0358     0.8881            0.5053
151        0.9887    0.0385     0.8851            0.5211
152        0.9905    0.0353     0.8890            0.5054
153        0.9903    0.0357     0.8869            0.5104
154        0.9898    0.0359     0.8874            0.5093
155        0.9905    0.0344     0.8878            0.5147
156        0.9908    0.0344     0.8884            0.5255
157        0.9907    0.0341     0.8891            0.5178
158        0.9901    0.0344     0.8863            0.5214
159        0.9889    0.0350     0.8892            0.5118
160        0.9899    0.0344     0.8880            0.5186
161        0.9914    0.0312     0.8882            0.5201
162        0.9911    0.0321     0.8882            0.5297
163        0.9899    0.0336     0.8879            0.5346
164        0.9909    0.0323     0.8840            0.5446
165        0.9903    0.0326     0.8877            0.5393
166        0.9910    0.0317     0.8910            0.5384
167        0.9905    0.0334     0.8868            0.5362
168        0.9915    0.0302     0.8895            0.5447
169        0.9914    0.0303     0.8874            0.5411
170        0.9922    0.0297     0.8868            0.5461
171        0.9924    0.0286     0.8848            0.5413
172        0.9925    0.0285     0.8866            0.5618
173        0.9924    0.0286     0.8836            0.5674
174        0.9914    0.0299     0.8870            0.5509
175        0.9921    0.0280     0.8880            0.5620
176        0.9918    0.0293     0.8891            0.5431
177        0.9922    0.0277     0.8879            0.5597
178        0.9924    0.0276     0.8883            0.5640
179        0.9921    0.0273     0.8866            0.5669
180        0.9928    0.0272     0.8866            0.5708
181        0.9938    0.0248     0.8851            0.5753
182        0.9939    0.0244     0.8877            0.5629
183        0.9931    0.0254     0.8865            0.5684
184        0.9934    0.0249     0.8879            0.5706
185        0.9937    0.0236     0.8856            0.5743
186        0.9937    0.0233     0.8876            0.5753
187        0.9942    0.0228     0.8860            0.5858
188        0.9942    0.0234     0.8857            0.5844
189        0.9946    0.0219     0.8867            0.5783
190        0.9938    0.0231     0.8846            0.6112
191        0.9935    0.0237     0.8870            0.5905
192        0.9951    0.0216     0.8841            0.5981
193        0.9947    0.0225     0.8853            0.5942
194        0.9951    0.0203     0.8889            0.5913
195        0.9947    0.0222     0.8858            0.5979
196        0.9940    0.0219     0.8874            0.5985
197        0.9945    0.0215     0.8878            0.5992
198        0.9952    0.0206     0.8874            0.6049
199        0.9949    0.0200     0.8865            0.6108
200        0.9946    0.0208     0.8855            0.6141
201        0.9952    0.0194     0.8863            0.6091
202        0.9951    0.0196     0.8859            0.6218
203        0.9958    0.0183     0.8878            0.6148
204        0.9953    0.0182     0.8864            0.6194
205        0.9957    0.0181     0.8827            0.6448
206        0.9952    0.0193     0.8866            0.6251
207        0.9961    0.0167     0.8848            0.6269
208        0.9950    0.0195     0.8839            0.6343
209        0.9957    0.0183     0.8854            0.6257
210        0.9955    0.0180     0.8870            0.6190
211        0.9958    0.0170     0.8843            0.6335
212        0.9963    0.0164     0.8825            0.6488
213        0.9963    0.0165     0.8875            0.6361
214        0.9953    0.0174     0.8858            0.6370
215        0.9971    0.0154     0.8872            0.6373
216        0.9961    0.0162     0.8870            0.6378
217        0.9963    0.0153     0.8886            0.6318
218        0.9966    0.0156     0.8876            0.6444
219        0.9958    0.0166     0.8842            0.6746
220        0.9962    0.0168     0.8874            0.6460
221        0.9963    0.0156     0.8877            0.6440
222        0.9958    0.0153     0.8853            0.6486
223        0.9957    0.0159     0.8875            0.6553
224        0.9968    0.0144     0.8848            0.6655
225        0.9965    0.0141     0.8844            0.6595
226        0.9964    0.0147     0.8860            0.6631
227        0.9968    0.0153     0.8861            0.6607
228        0.9970    0.0131     0.8871            0.6611
229        0.9970    0.0138     0.8857            0.6690
230        0.9972    0.0130     0.8845            0.6821
231        0.9970    0.0133     0.8851            0.6711
232        0.9972    0.0129     0.8856            0.6706
233        0.9972    0.0130     0.8838            0.6814
234        0.9969    0.0125     0.8849            0.6771
235        0.9978    0.0121     0.8863            0.6791
236        0.9972    0.0130     0.8865            0.6722
237        0.9974    0.0124     0.8862            0.6792
238        0.9974    0.0129     0.8839            0.6841
