epoch accuracy   loss     val_acc	  val_loss
145  0.9551     0.1348    0.8904      0.3415
146  0.9542     0.1330    0.8856      0.3521
147  0.9560     0.1303    0.8846      0.3572
148  0.9559     0.1303    0.8857      0.3489
149  0.9571     0.1323    0.8928      0.3395
150  0.9583     0.1269    0.8919      0.3401
151  0.9559     0.1294    0.8901      0.3429
152  0.9582     0.1262    0.8884      0.3510
153  0.9574     0.1274    0.8897      0.3492
154  0.9572     0.1285    0.8871      0.3553
155  0.9588     0.1222    0.8896      0.3433
156  0.9606     0.1214    0.8885      0.3491
157  0.9584     0.1231    0.8887      0.3520
158  0.9598     0.1223    0.8902      0.3495
159  0.9593     0.1243    0.8876      0.3544
160  0.9592     0.1237    0.8917      0.3497
161  0.9606     0.1183    0.8871      0.3487
162  0.9594     0.1224    0.8917      0.3464
163  0.9593     0.1192    0.8836      0.3697
164  0.9598     0.1206    0.8901      0.3509
165  0.9591     0.1220    0.8894      0.3513
166  0.9605     0.1197    0.8898      0.3540
167  0.9615     0.1189    0.8897      0.3554
168  0.9632     0.1130    0.8858      0.3603
169  0.9617     0.1162    0.8903      0.3546
170  0.9620     0.1151    0.8909      0.3590
171  0.9626     0.1133    0.8881      0.3518
172  0.9627     0.1124    0.8908      0.3588
173  0.9638     0.1128    0.8890      0.3602
174  0.9632     0.1117    0.8895      0.3545
175  0.9624     0.1129    0.8868      0.3744
176  0.9632     0.1105    0.8919      0.3568
177  0.9641     0.1119    0.8886      0.3623
178  0.9645     0.1101    0.8856      0.3651
179  0.9657     0.1084    0.8920      0.3545
180  0.9643     0.1099    0.8911      0.3618
181  0.9639     0.1091    0.8887      0.3699
182  0.9648     0.1092    0.8897      0.3599
183  0.9660     0.1071    0.8907      0.3556
184  0.9654     0.1069    0.8881      0.3613
185  0.9661     0.1056    0.8870      0.3657
186  0.9658     0.1045    0.8905      0.3691
187  0.9671     0.1018    0.8857      0.3808
188  0.9657     0.1029    0.8902      0.3666
189  0.9652     0.1051    0.8891      0.3627
190  0.9662     0.1025    0.8883      0.3706
191  0.9676     0.1014    0.8920      0.3622
192  0.9675     0.1022    0.8883      0.3661
193  0.9671     0.1033    0.8864      0.3741
194  0.9678     0.1001    0.8845      0.3784
195  0.9670     0.1001    0.8912      0.3666
196  0.9689     0.0978    0.8919      0.3656
197  0.9674     0.1008    0.8919      0.3660
198  0.9689     0.1001    0.8885      0.3682
199  0.9687     0.0992    0.8904      0.3701
200  0.9690     0.1005    0.8903      0.3693
201  0.9678     0.0993    0.8856      0.3829
202  0.9696     0.0990    0.8898      0.3712
203  0.9704     0.0948    0.8876      0.3775
204  0.9702     0.0943    0.8908      0.3715
205  0.9695     0.0964    0.8905      0.3728
206  0.9679     0.0976    0.8891      0.3721
207  0.9711     0.0927    0.8889      0.3751
208  0.9708     0.0920    0.8909      0.3709
209  0.9702     0.0929    0.8833      0.4080
210  0.9716     0.0907    0.8905      0.3762
211  0.9704     0.0941    0.8914      0.3711
212  0.9718     0.0905    0.8901      0.3785
213  0.9701     0.0934    0.8923      0.3735
214  0.9719     0.0904    0.8902      0.3757
215  0.9727     0.0879    0.8915      0.3872
216  0.9716     0.0904    0.8838      0.3992
217  0.9707     0.0910    0.8913      0.3821
218  0.9729     0.0871    0.8906      0.3807
219  0.9727     0.0876    0.8894      0.3870
220  0.9710     0.0898    0.8896      0.3894
221  0.9738     0.0854    0.8882      0.3948
222  0.9727     0.0867    0.8865      0.3893
223  0.9740     0.0841    0.8859      0.3944
224  0.9732     0.0845    0.8907      0.3818
225  0.9728     0.0855    0.8893      0.3852
226  0.9750     0.0835    0.8911      0.3864
227  0.9747     0.0816    0.8909      0.3859
228  0.9737     0.0829    0.8916      0.3888
229  0.9748     0.0815    0.8867      0.4107
230  0.9727     0.0853    0.8922      0.3859
231  0.9748     0.0820    0.8855      0.4042
232  0.9746     0.0821    0.8903      0.3894
233  0.9752     0.0813    0.8831      0.4087
234  0.9744     0.0829    0.8873      0.3957
235  0.9749     0.0813    0.8876      0.3970
236  0.9744     0.0819    0.8913      0.3877
237  0.9742     0.0802    0.8921      0.3914
238  0.9760     0.0773    0.8901      0.3968
239  0.9766     0.0786    0.8850      0.4215
240  0.9756     0.0792    0.8911      0.4022
241  0.9763     0.0792    0.8913      0.4015
242  0.9764     0.0770    0.8920      0.3954
243  0.9759     0.0798    0.8883      0.4096
244  0.9748     0.0786    0.8854      0.4342
245  0.9756     0.0755    0.8869      0.4054
246  0.9768     0.0744    0.8804      0.4299
247  0.9777     0.0749    0.8909      0.3988
248  0.9770     0.0737    0.8769      0.4589
249  0.9756     0.0762    0.8871      0.4011
250  0.9774     0.0737    0.8790      0.4429
251  0.9783     0.0731    0.8875      0.4103
252  0.9775     0.0735    0.8916      0.3996
253  0.9778     0.0733    0.8861      0.4280
254  0.9783     0.0706    0.8885      0.4125
255  0.9791     0.0699    0.8882      0.4133
256  0.9794     0.0697    0.8874      0.4129
257  0.9763     0.0733    0.8880      0.4154
258  0.9783     0.0708    0.8898      0.4119
259  0.9800     0.0675    0.8891      0.4141
260  0.9798     0.0698    0.8861      0.4282
261  0.9788     0.0703    0.8883      0.4132
262  0.9787     0.0696    0.8895      0.4079
263  0.9796     0.0685    0.8915      0.4090
264  0.9781     0.0710    0.8895      0.4145
265  0.9787     0.0709    0.8901      0.4214
266  0.9795     0.0671    0.8884      0.4247
267  0.9791     0.0690    0.8876      0.4184
268  0.9793     0.0682    0.8884      0.4196
269  0.9800     0.0677    0.8852      0.4239
270  0.9803     0.0653    0.8885      0.4151
271  0.9803     0.0668    0.8881      0.4292
272  0.9807     0.0660    0.8870      0.4356
273  0.9818     0.0637    0.8910      0.4244
274  0.9805     0.0641    0.8855      0.4353
275  0.9813     0.0652    0.8908      0.4226
276  0.9820     0.0620    0.8872      0.4302
277  0.9796     0.0667    0.8883      0.4263
278  0.9812     0.0641    0.8899      0.4235
279  0.9820     0.0626    0.8867      0.4351
280  0.9816     0.0615    0.8901      0.4291
281  0.9821     0.0618    0.8897      0.4223
282  0.9838     0.0586    0.8820      0.4482
283  0.9831     0.0587    0.8894      0.4231
284  0.9836     0.0589    0.8902      0.4365
285  0.9824     0.0593    0.8857      0.4372
286  0.9841     0.0585    0.8901      0.4296
287  0.9824     0.0597    0.8880      0.4322
288  0.9837     0.0575    0.8878      0.4402
289  0.9836     0.0579    0.8881      0.4329
290  0.9834     0.0588    0.8890      0.4342
291  0.9825     0.0597    0.8924      0.4321
292  0.9829     0.0576    0.8860      0.4455
293  0.9836     0.0569    0.8899      0.4369
294  0.9837     0.0582    0.8906      0.4393
295  0.9838     0.0579    0.8876      0.4396
296  0.9838     0.0569    0.8890      0.4344
297  0.9838     0.0575    0.8895      0.4386
298  0.9838     0.0568    0.8868      0.4349
299  0.9842     0.0560    0.8885      0.4441
300  0.9840     0.0560    0.8796      0.4822
301  0.9844     0.0548    0.8868      0.4419
302  0.9845     0.0545    0.8903      0.4395
303  0.9844     0.0552    0.8862      0.4444
304  0.9854     0.0533    0.8849      0.4520
305  0.9857     0.0535    0.8856      0.4475
306  0.9855     0.0531    0.8876      0.4440
307  0.9852     0.0536    0.8895      0.4484
308  0.9849     0.0532    0.8870      0.4527
309  0.9858     0.0529    0.8877      0.4500
310  0.9850     0.0530    0.8871      0.4504
311  0.9859     0.0518    0.8857      0.4462
312  0.9857     0.0515    0.8875      0.4516
313  0.9851     0.0523    0.8826      0.4655
314  0.9850     0.0515    0.8883      0.4478
315  0.9869     0.0481    0.8787      0.5003
316  0.9861     0.0509    0.8867      0.4571
317  0.9862     0.0507    0.8878      0.4464
318  0.9869     0.0482    0.8848      0.4593
319  0.9863     0.0499    0.8899      0.4507
320  0.9864     0.0493    0.8881      0.4577
321  0.9862     0.0506    0.8891      0.4576
322  0.9875     0.0476    0.8892      0.4536
323  0.9869     0.0477    0.8869      0.4525
324  0.9868     0.0497    0.8859      0.4838
325  0.9867     0.0488    0.8881      0.4596
326  0.9863     0.0492    0.8886      0.4599
327  0.9871     0.0476    0.8860      0.4624
328  0.9876     0.0475    0.8867      0.4613
329  0.9883     0.0457    0.8870      0.4568
330  0.9870     0.0471    0.8832      0.5016
331  0.9872     0.0481    0.8871      0.4723
332  0.9876     0.0473    0.8866      0.4718
333  0.9864     0.0474    0.8882      0.4628
334  0.9872     0.0467    0.8887      0.4665
335  0.9875     0.0479    0.8894      0.4678
336  0.9876     0.0468    0.8888      0.4721
337  0.9875     0.0464    0.8893      0.4705
338  0.9888     0.0440    0.8912      0.4661
339  0.9886     0.0438    0.8833      0.4832
340  0.9893     0.0439    0.8863      0.4656
341  0.9880     0.0441    0.8895      0.4692
342  0.9893     0.0408    0.8898      0.4760
343  0.9885     0.0447    0.8871      0.4800
344  0.9882     0.0440    0.8871      0.4782
345  0.9880     0.0445    0.8881      0.4787
346  0.9883     0.0442    0.8873      0.4816
347  0.9898     0.0429    0.8853      0.4886
348  0.9888     0.0431    0.8874      0.4702
349  0.9893     0.0418    0.8861      0.4783
350  0.9883     0.0436    0.8893      0.4810
351  0.9892     0.0420    0.8888      0.4815
352  0.9884     0.0444    0.8843      0.4826
353  0.9897     0.0412    0.8875      0.4867
354  0.9894     0.0406    0.8847      0.4891
355  0.9893     0.0412    0.8849      0.5030
356  0.9898     0.0413    0.8866      0.4978
357  0.9897     0.0399    0.8852      0.4876
358  0.9895     0.0400    0.8881      0.4786
359  0.9899     0.0393    0.8870      0.4889
360  0.9905     0.0391    0.8878      0.4932
361  0.9904     0.0394    0.8880      0.4897
362  0.9906     0.0401    0.8895      0.4890
363  0.9901     0.0399    0.8882      0.4851
364  0.9913     0.0380    0.8876      0.4864
365  0.9903     0.0392    0.8887      0.4851
366  0.9908     0.0385    0.8852      0.5061
367  0.9911     0.0385    0.8889      0.4882
368  0.9908     0.0372    0.8872      0.4878
369  0.9906     0.0375    0.8881      0.4919
370  0.9910     0.0366    0.8895      0.4846
371  0.9904     0.0390    0.8834      0.4971
372  0.9907     0.0381    0.8878      0.4901
373  0.9917     0.0363    0.8874      0.4897
374  0.9912     0.0365    0.8845      0.5106
375  0.9915     0.0360    0.8866      0.4940
376  0.9902     0.0395    0.8785      0.5385
377  0.9914     0.0357    0.8862      0.5015
378  0.9916     0.0355    0.8861      0.4951
379  0.9913     0.0354    0.8894      0.4945
380  0.9911     0.0364    0.8884      0.4946
381  0.9915     0.0354    0.8885      0.4957
382  0.9916     0.0349    0.8863      0.5101
383  0.9918     0.0346    0.8873      0.5130
384  0.9923     0.0344    0.8877      0.4973
385  0.9931     0.0328    0.8877      0.4978
386  0.9922     0.0339    0.8865      0.5049
387  0.9921     0.0344    0.8866      0.5011
388  0.9920     0.0332    0.8890      0.5043
389  0.9918     0.0340    0.8861      0.5106
390  0.9915     0.0344    0.8896      0.5050
391  0.9924     0.0330    0.8895      0.5028
392  0.9921     0.0326    0.8859      0.5122
393  0.9919     0.0338    0.8888      0.5052
394  0.9931     0.0327    0.8888      0.5086
395  0.9931     0.0321    0.8878      0.5137
396  0.9920     0.0334    0.8870      0.5072
397  0.9926     0.0326    0.8883      0.5106
398  0.9933     0.0320    0.8876      0.5085
399  0.9932     0.0303    0.8877      0.5113
400  0.9934     0.0313    0.8834      0.5076
